#OTU ID,OMA1,OMA11,OMA12,OMA13,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA26,OMA27,OMA28,OMA3,OMA4,OMA47,OMA48,WGA10,WGA12,WGA13,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,,,,,,,,
Otu36,419,27,13,2,5,7,0,304,14,18,67,17,20,27,95,225,1909,398,0,50,236,0,0,0,0,44,0,0,15,0,88,0,0,0,0,0,143,0,0,0,0,1126,0,333,26,0,0,22,0,0,,,,,,,,
Otu74,155,21,10,11,2,0,1,127,43,13,11,15,9,28,57,113,1343,447,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,1,705,0,2385,0,0,8,0,46,0,0,0,0,0,0,,,,,,,,
Otu63,378,23,15,9,15,13,17,235,18,21,44,15,14,47,91,176,1424,331,10,2,5,0,1048,0,0,0,0,0,0,0,97,0,0,0,0,0,192,11,0,0,222,374,0,579,0,0,0,0,0,0,,,,,,,,
Otu32,326,32,21,6,11,3,8,25,5,12,10,1,1,38,8,11,0,0,0,0,0,0,0,0,0,0,130,0,0,4616,0,1,0,23,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,,,,,,,,
Otu34,94,69,101,119,292,157,227,50,186,441,315,50,33,288,26,57,0,1,0,102,75,0,0,0,0,0,150,15,227,91,428,0,0,0,0,0,240,0,0,0,416,0,0,803,0,0,0,0,0,3,,,,,,,,
Otu47,106,32,32,11,88,30,49,199,195,86,52,146,41,106,170,177,10,6,0,2,150,0,0,0,0,0,0,0,37,1520,7,0,0,1,0,0,28,0,0,0,0,10,0,1493,0,0,0,0,0,2,,,,,,,,
Otu56,251,88,44,10,29,16,33,73,30,15,5,37,18,144,71,74,296,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2901,0,0,1,1,1,0,49,0,15,0,0,0,5,0,0,,,,,,,,
Otu23,2,9,21,16,603,233,238,5,673,273,274,111,21,74,4,4,0,0,0,43,271,0,40,0,0,0,0,0,0,0,0,0,0,0,0,58,21,0,0,0,14,492,0,240,0,0,0,0,0,0,,,,,,,,
Otu27,0,4,4,4,356,221,47,1,206,56,25,19,4,5,0,0,1,0,742,8,302,0,0,0,0,160,0,0,0,0,1453,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,
Otu83,103,7,7,12,28,13,8,45,34,13,11,11,8,14,80,68,7,2,0,519,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu70,27,5,10,5,57,21,41,13,72,77,38,34,14,26,8,6,11,23,213,0,0,0,1,2761,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu50,295,58,43,14,7,5,19,141,161,41,45,43,25,62,105,109,654,188,62,2,0,0,24,0,399,0,314,7,53,0,182,0,0,0,0,0,11,0,0,0,211,0,0,133,0,0,0,0,0,0,,,,,,,,
