#OTU ID,Kingdom,phyla,class,order,family ,genus,strain
Otu1562,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu1562
Otu1633,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu1633
Otu1883,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu1883
Otu198,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu198
Otu67,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu67
Otu78,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu78
Otu849,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu849
Otu889,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,Otu889
Otu729,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Fluviimonas,Otu729
Otu2194,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,Otu2194
Otu1103,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Microscilla,Otu1103
Otu789,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Microscilla,Otu789
Otu1111,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Nibribacter,Otu1111
Otu1200,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Nibribacter,Otu1200
Otu39,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Pseudarcicella,Otu39
Otu1579,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rhodonellum,Otu1579
Otu1009,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Sporocytophaga,Otu1009
Otu1860,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Sporocytophaga,Otu1860
Otu1242,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Aureibacter,Otu1242
Otu1362,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Aureibacter,Otu1362
Otu1995,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Aureibacter,Otu1995
Otu508,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Aureibacter,Otu508
Otu2220,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Cesiribacter,Otu2220
Otu2242,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Cesiribacter,Otu2242
Otu585,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Cesiribacter,Otu585
Otu755,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Cesiribacter,Otu755
Otu814,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Cesiribacter,Otu814
Otu279,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter,Otu279
Otu419,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter,Otu419
Otu83,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter,Otu83
Otu978,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter,Otu978
Otu659,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,Otu659
Otu1957,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flexithrix,Otu1957
Otu2032,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flexithrix,Otu2032
Otu2146,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flexithrix,Otu2146
Otu1013,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu1013
Otu1195,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu1195
Otu1353,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu1353
Otu165,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu165
Otu1744,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu1744
Otu1773,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu1773
Otu209,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu209
Otu2135,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu2135
Otu291,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu291
Otu313,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu313
Otu444,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu444
Otu604,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu604
Otu620,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu620
Otu666,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga,Otu666
Otu1660,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Imperialibacter,Otu1660
Otu523,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Imperialibacter,Otu523
Otu805,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Imperialibacter,Otu805
Otu1084,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,Otu1084
Otu192,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,Otu192
Otu1928,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,Otu1928
Otu434,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,Otu434
Otu617,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,Otu617
Otu905,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,Otu905
Otu2259,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marivirga,Otu2259
Otu1980,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Nafulsella,Otu1980
Otu2048,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Nafulsella,Otu2048
Otu1319,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Rapidithrix,Otu1319
Otu1445,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Rapidithrix,Otu1445
Otu1429,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu1429
Otu1456,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu1456
Otu148,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu148
Otu1630,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu1630
Otu1690,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu1690
Otu171,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu171
Otu1973,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu1973
Otu415,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu415
Otu427,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu427
Otu484,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu484
Otu503,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu503
Otu537,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu537
Otu549,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu549
Otu551,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu551
Otu75,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu75
Otu80,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu80
Otu851,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu851
Otu950,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,Otu950
Otu1535,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,Otu1535
