#OTU ID,OMA1,OMA10,OMA11,OMA12,OMA13,OMA14,OMA15,OMA16,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA23,OMA24,OMA25,OMA26,OMA27,OMA28,OMA29,OMA3,OMA30,OMA31,OMA32,OMA33,OMA34,OMA35,OMA36,OMA37,OMA38,OMA39,OMA4,OMA40,OMA41,OMA42,OMA43,OMA44,OMA45,OMA46,OMA47,OMA48,OMA5,OMA6,OMA7,OMA8,OMA9,WGA10,WGA100,WGA106,WGA108,WGA111,WGA12,WGA13,WGA132,WGA133,WGA137,WGA139,WGA143,WGA145,WGA146,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,WGA97,WGA98,WGA99
Otu39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9525,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0
Otu35,455,0,23,18,14,4,2,4,5,3,9,49,6,12,8,11,6,9,9,1,21,27,38,11,26,8,32,15,20,2,30,2220,444,15,5413,10,122,2,47,29,16,108,215,0,0,0,3,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu41,61,1,47,50,12,47,60,44,111,8,336,25,5,387,121,0,0,3,494,7,150,177,0,236,126,101,132,162,92,4,75,16,23,5,57,4,29,2,58,180,58,64,64,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,189,1173,0,0,0,0,0,0,0,0,0,0,0,0,577,297,0,3033,0,0,0,0,1,0,0,0
Otu57,25,3,62,78,9,101,34,28,182,43,142,9,29,110,35,10,15,10,16,10,109,473,3,13,353,189,481,184,175,85,722,23,18,7,37,1228,602,50,536,199,27,11,14,0,2,2,6,0,0,0,0,327,0,0,0,0,2,0,0,31,0,0,0,10,0,108,0,0,17,9,0,1102,0,0,0,0,0,10,0,0,235,0,1,230,60,0,159,0,0,0,0,0,0,19
Otu40,3,257,0,2,1,1,0,3,5,2,4,43,236,95,5,6,2,4,73,16,1,4,109,1,1,0,2,3,3,1,4,351,222,102,3671,102,127,2,311,85,47,1,55,424,1009,557,5,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu47,106,12,32,32,11,32,40,108,88,30,49,199,195,86,52,96,88,165,146,41,106,61,170,66,75,74,113,22,39,33,73,199,287,177,416,100,428,11,105,44,13,10,6,8,42,26,195,54,0,0,0,0,0,2,150,0,0,0,0,0,0,80,0,0,0,0,0,0,0,37,1520,7,0,0,1,0,0,28,0,0,0,0,10,0,1493,0,0,0,0,0,2,0,0,0
Otu46,0,2,1,0,0,3,1,1,2,2,1,0,2,2,1,4,4,2,1,0,3,5,0,2,0,1,7,1,1,0,3,1,1,0,9,18,13,1,7,4,3,2,4,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,6053,0,0,0,0,0,0,831,0,0,0,0,0,0,0,0,0
Otu74,155,3,21,10,11,5,9,5,2,0,1,127,43,13,11,106,44,55,15,9,28,43,57,41,34,21,33,21,31,31,39,308,148,113,426,11,91,1,36,27,13,1343,447,6,27,11,20,18,0,14,0,0,0,0,0,0,60,0,0,0,0,121,0,0,0,0,0,0,0,0,0,13,2,0,0,0,1,705,0,2385,0,0,8,0,46,0,0,0,0,0,0,0,0,0
Otu50,295,7,58,43,14,15,11,32,7,5,19,141,161,41,45,82,71,54,43,25,62,267,105,131,140,148,228,44,45,42,138,316,166,109,741,108,304,18,216,83,44,654,188,11,26,14,41,56,62,65,0,0,0,2,0,153,12,0,1,0,0,0,0,24,0,399,0,314,7,53,0,182,0,0,0,0,0,11,0,0,0,211,0,0,133,0,0,0,0,0,0,0,0,12
Otu52,217,0,176,114,15,23,15,3,17,18,31,276,28,6,5,3,2,5,17,16,41,152,128,94,95,76,145,75,58,63,106,502,426,198,622,380,143,9,439,255,34,87,34,0,5,8,5,5,81,0,0,6,29,0,21,0,14,0,0,0,0,37,0,0,49,0,0,0,0,0,0,355,0,0,0,0,0,9,16,1,786,0,0,0,120,0,3,0,0,0,0,14,1,0
Otu61,306,2,181,91,5,27,21,12,16,10,41,278,65,30,15,17,16,11,25,12,111,217,74,139,115,147,248,125,53,76,134,250,181,147,370,172,180,10,193,99,20,710,215,4,14,16,16,16,38,0,317,0,0,1,14,0,10,0,2,0,0,99,0,0,82,0,0,0,1,282,0,4,0,0,0,0,8,1,0,37,0,19,9,23,51,0,126,91,0,0,0,13,100,0
Otu49,231,57,22,25,22,35,51,79,31,29,21,174,78,58,145,342,148,216,56,29,103,21,118,36,24,23,23,54,23,21,16,236,94,176,410,21,90,4,70,25,21,80,40,201,487,260,248,179,158,0,1,0,0,24,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,788,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0
Otu63,378,5,23,15,9,3,2,8,15,13,17,235,18,21,44,30,23,13,15,14,47,29,91,11,23,11,17,4,14,6,21,132,49,176,124,5,18,0,15,13,10,1424,331,12,20,18,66,27,10,0,0,0,0,2,5,23,294,0,0,0,0,20,0,1048,0,0,0,0,0,0,0,97,0,0,0,0,0,192,11,0,0,222,374,0,579,0,0,0,0,0,0,1,0,0
Otu54,118,144,81,58,10,23,26,26,19,18,8,211,52,65,52,111,342,202,48,25,52,21,109,39,36,8,10,14,18,24,38,394,326,256,816,357,397,36,116,45,66,47,39,62,294,77,200,326,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Otu27,0,87,4,4,4,98,95,50,356,221,47,1,206,56,25,8,12,5,19,4,5,44,0,40,5,3,1,14,25,3,34,0,0,0,0,321,211,24,19,8,7,1,0,15,104,944,44,71,742,0,0,0,0,8,302,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,1453,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Otu83,103,9,7,7,12,5,14,12,28,13,8,45,34,13,11,28,55,6,11,8,14,15,80,12,9,1,2,9,2,9,20,110,64,68,307,113,726,27,32,16,32,7,2,18,92,51,35,23,0,0,0,0,0,519,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu70,27,52,5,10,5,26,43,50,57,21,41,13,72,77,38,87,80,29,34,14,26,54,8,18,20,16,15,6,13,5,43,29,14,6,147,101,246,9,93,38,36,11,23,108,92,125,141,119,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2761,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu62,346,42,49,16,11,3,2,1,9,1,12,152,13,19,8,152,222,140,41,24,73,58,90,40,37,32,47,45,22,25,44,314,190,134,890,7,110,1,101,49,20,743,232,15,59,22,93,103,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0,0,0,0,0,0,1,0,0,0,111,256,0,21,0,0,0,0,0,0,1,0,0
Otu60,337,0,3,2,0,1,0,1,4,3,3,783,2,12,6,0,2,1,26,11,2,3,412,0,0,2,1,4,1,0,1,796,558,1015,937,0,7,0,33,21,11,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu747,91,69,23,60,14,25,38,71,166,46,70,12,101,49,93,76,46,45,36,16,164,146,9,253,66,37,158,38,36,34,279,8,2,8,27,50,16,5,15,7,8,2,3,2,6,7,147,49,325,104,0,0,0,0,20,0,1,742,0,1,0,0,0,1,0,0,0,0,0,0,0,110,0,0,0,0,0,643,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0
Otu72,217,21,36,22,8,7,3,12,8,7,9,89,39,12,14,191,177,160,9,3,29,110,90,41,45,48,74,26,35,20,57,328,139,95,595,55,213,4,108,54,17,620,172,7,25,17,58,51,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,603,0,0,0,0,0,149,0,0,0,0,0,0
Otu51,0,1397,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,1570,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu75,0,7,0,1,1,2,0,26,31,45,40,0,2,4,5,9,7,8,4,2,2,2,1,0,0,0,0,0,0,2,0,0,0,0,4,21,17,2,4,0,0,0,0,0,0,0,75,23,0,3058,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0
Otu73,331,0,2,1,0,13,32,2,1,1,1,78,0,0,1,328,122,88,1,18,8,0,64,2,5,0,1,1,1,1,1,6,60,366,2346,0,22,0,7,22,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu66,230,2,62,25,10,23,16,22,10,9,18,114,60,23,28,29,52,24,18,9,45,75,44,68,50,61,86,49,18,29,36,138,116,42,278,10,77,3,77,38,17,702,222,7,12,14,13,7,9,179,0,0,0,1,8,0,24,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,74,30,0,127,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0
Otu64,29,0,6,3,0,0,0,0,0,2,0,15,1,1,1,0,1,0,2,1,2,0,6,1,0,1,0,3,0,1,4,7,0,6,22,1,4,0,1,0,3,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu65,12,48,34,20,7,34,12,28,31,12,16,8,5,47,49,14,26,16,26,8,48,111,1,55,89,42,82,29,55,28,133,10,5,1,50,147,574,15,194,62,29,12,7,0,0,1,198,100,0,0,0,141,0,22,0,0,1,0,0,0,0,632,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
