,Treat,Diatom,Temp,Bact,FSC,SSC,RED,GREEN,strain,strain_2
10272,NbO-A5-AX,NbO-A5,18,Axenic,3.336683,3.596769,3.463244,3.567832,NbO-A5,A1
10273,NbO-A5-AX,NbO-A5,18,Axenic,3.345793,3.409842,3.612522,3.737238,NbO-A5,A1
10274,NbO-A5-AX,NbO-A5,18,Axenic,3.337877,3.49514,3.593661,3.554944,NbO-A5,A1
10275,NbO-A5-AX,NbO-A5,18,Axenic,3.494354,3.579973,3.713658,3.911483,NbO-A5,A1
10276,NbO-A5-AX,NbO-A5,18,Axenic,3.117469,3.29706,3.498298,3.706527,NbO-A5,A1
10277,NbO-A5-AX,NbO-A5,18,Axenic,3.36338,3.499175,3.723831,3.56152,NbO-A5,A1
10278,NbO-A5-AX,NbO-A5,18,Axenic,3.536922,3.499664,3.322759,3.790329,NbO-A5,A1
10279,NbO-A5-AX,NbO-A5,18,Axenic,3.421043,3.584045,3.546005,3.535485,NbO-A5,A1
10280,NbO-A5-AX,NbO-A5,18,Axenic,3.362966,3.46004,3.528628,3.629148,NbO-A5,A1
10281,NbO-A5-AX,NbO-A5,18,Axenic,3.377301,3.414669,3.4798,3.892271,NbO-A5,A1
10282,NbO-A5-AX,NbO-A5,18,Axenic,3.259414,3.772633,3.637909,3.761377,NbO-A5,A1
10283,NbO-A5-AX,NbO-A5,18,Axenic,3.120855,3.283833,3.416912,3.862315,NbO-A5,A1
10284,NbO-A5-AX,NbO-A5,18,Axenic,3.200002,3.978846,3.463873,3.802694,NbO-A5,A1
10285,NbO-A5-AX,NbO-A5,18,Axenic,3.358346,3.254919,3.438038,3.672192,NbO-A5,A1
10286,NbO-A5-AX,NbO-A5,18,Axenic,3.285051,3.384369,3.510251,3.75294,NbO-A5,A1
10287,NbO-A5-AX,NbO-A5,18,Axenic,3.405147,3.726903,3.531775,3.591946,NbO-A5,A1
10288,NbO-A5-AX,NbO-A5,18,Axenic,3.431105,3.308822,3.523325,3.651639,NbO-A5,A1
10289,NbO-A5-AX,NbO-A5,18,Axenic,3.228467,3.438563,3.421951,3.910237,NbO-A5,A1
10290,NbO-A5-AX,NbO-A5,18,Axenic,3.408123,3.487284,3.557636,3.783409,NbO-A5,A1
10291,NbO-A5-AX,NbO-A5,18,Axenic,3.351372,3.561383,3.524733,3.755297,NbO-A5,A1
10292,NbO-A5-AX,NbO-A5,18,Axenic,3.32976,3.456169,3.440758,3.741808,NbO-A5,A1
10293,NbO-A5-AX,NbO-A5,18,Axenic,3.052007,3.510569,3.542572,3.678499,NbO-A5,A1
10294,NbO-A5-AX,NbO-A5,18,Axenic,3.300478,3.457849,3.60271,3.73012,NbO-A5,A1
