#OTU ID	info	Treatment	Treatment2	Treatment3	Pop	Pop2	Pop3	extract	temp	col	col2	pch	culture	clonal	clonal2	definition	keep_2026	diatom_control	exp	temp_shift	used_inisolate	TR_Con	TR_Growth	Fm	FmDEC	FmD	Treatment_Multi	order
OMA28	YE5-C_18	YE5	YE5	YE5	CG2	CG2	PopB	Filter	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	assemblage	yes	diatom	a		y	42021.67253	1.080555436	0.4207	1307.5419	0.4479	YE5_Filter	48
OMA29	RD4-RA5-A_18	RD4_RA5	RD4_RA5	RD4_RA5	Mar_Mar	CG1	multiclonal	Filter	18	blue	black	21	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	28138.00401	1.148851978				RD4_RA5_Filter	55
OMA30	RD4-RA5-B_18	RD4_RA5	RD4_RA5	RD4_RA5	Mar_Mar	CG1	multiclonal	Filter	18	blue	black	21	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	33057.54073	1.161101606				RD4_RA5_Filter	56
OMA31	RD4-RA5-C_18	RD4_RA5	RD4_RA5	RD4_RA5	Mar_Mar	CG1	multiclonal	Filter	18	blue	black	21	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	29652.96565	1.000821081				RD4_RA5_Filter	57
OMA32	RD4-NB7-A_18	RD4_NB7	RD4_NB7	RD4_NB7	Mar_Nov	Mar_Nov	multiclonal	Filter	18	green	black	22	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	39064.65384	1.077087657				RD4_NB7_Filter	58
OMA33	RD4-NB7-B_18	RD4_NB7	RD4_NB7	RD4_NB7	Mar_Nov	Mar_Nov	multiclonal	Filter	18	green	black	22	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	44241.3263	1.112022855				RD4_NB7_Filter	59
OMA34	RD4-NB7-C_18	RD4_NB7	RD4_NB7	RD4_NB7	Mar_Nov	Mar_Nov	multiclonal	Filter	18	green	black	22	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	39885.34155	1.222932403				RD4_NB7_Filter	60
OMA35	RD4-YE5-A_18	RD4_YE5	RD4_YE5	RD4_YE5	Mar_May	Mar_May	multiclonal	Filter	18	orange	black	23	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	40778.12123	1.045397167				RD4_YE5_Filter	67
OMA36	RD4-YE5-B_18	RD4_YE5	RD4_YE5	RD4_YE5	Mar_May	Mar_May	multiclonal	Filter	18	orange	black	23	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	48330.47025	1.050709417				RD4_YE5_Filter	68
OMA37	RD4-YE5-C_18	RD4_YE5	RD4_YE5	RD4_YE5	Mar_May	Mar_May	multiclonal	Filter	18	orange	black	23	Co	multiclonal	multiclonal	assemblage	yes	diatom			y	56190.37143	1.023227731				RD4_YE5_Filter	69
OMA38	Bact-A_22	Bact_22_T5	Bact_T5		env	Bact_T5	Bact_T5	Filter	22	gray70	gray70	25	control	control	control	inoculum_T5	no	control		y							Bact_22_T5_Filter	90
OMA39	Bact-B_22	Bact_22_T5	Bact_T5		env	Bact_T5	Bact_T5	Filter	22	gray70	gray70	25	control	control	control	inoculum_T5	no	control		y							Bact_22_T5_Filter	91
OMA40	Bact-C_22	Bact_22_T5	Bact_T5		env	Bact_T5	Bact_T5	Filter	22	gray70	gray70	25	control	control	control	inoculum_T5	no	control		y							Bact_22_T5_Filter	92
OMA41	NB7-A_22	NB7_22	NB7		CG3	CG3	PopC	Filter	22	green	green	21	Single	monoclonal	monoclonal	assemblage	no	diatom		y		44171.51077	1.848514815				NB7_22_Filter	16
OMA42	NB7-B_22	NB7_22	NB7		CG3	CG3	PopC	Filter	22	green	green	21	Single	monoclonal	monoclonal	assemblage	no	diatom		y		43722.20885	1.456016724				NB7_22_Filter	17
OMA43	NB7-C_22	NB7_22	NB7		CG3	CG3	PopC	Filter	22	green	green	21	Single	monoclonal	monoclonal	assemblage	no	diatom		y		43690.45948	1.595387164				NB7_22_Filter	18
OMA44	RD4-A_22	RD4_22	RD4		CG1	CG1	PopA	Filter	22	blue	blue	21	Single	monoclonal	monoclonal	assemblage	no	diatom		y		32447.44076	1.341886742				RD4_22_Filter	40
OMA45	RD4-B_22	RD4_22	RD4		CG1	CG1	PopA	Filter	22	blue	blue	21	Single	monoclonal	monoclonal	assemblage	no	diatom		y		31315.7889	1.26532056				RD4_22_Filter	41
