#OTU ID	info	strain_26	diatom_strain	Treatment	Treatment3	Treatment4	Pop	Pop2	Pop3	Sample_Site	treatment_26	treatment_26	extract	definition_26	temp	col	col2	col_26	pch	culture	definition	keep_2026	diatom_control	innoc
WGA15	WGA-RA5-B_Blank		NbO-A5_Blank	RA5_Blank	RA5_Blank	RA5_Blank	March	Bact_CG1	Bact_PopA	Bact_NbO	NbO-A5_Blank		WGA		18	steelblue4	#4D9DE0	#7768AE	23	Single	bacterioplankton	yes	control	NA
WGA18	WGA_RD4-A	A2	NbO-D4	RD4	RD4_WGA	RD4_WGA	March	CG1	PopA	NbO	NbO-D4 Micro	A2 Algal-cell associated	WGA	Algal-cell associated	18	navy	#E15554	#4D9DE0	22	Single	microbiome	yes	diatom	NA
WGA19	WGA_RD4-A	A2	NbO-D4	RD4	RD4_WGA	RD4_WGA	March	CG1	PopA	NbO	NbO-D4 Micro	A2 Algal-cell associated	WGA	Algal-cell associated	18	navy	#E15554	#4D9DE0	22	Single	microbiome	yes	diatom	NA
WGA20	WGA_RD4-A	A2	NbO-D4	RD4	RD4_WGA	RD4_WGA	March	CG1	PopA	NbO	NbO-D4 Micro	A2 Algal-cell associated	WGA	Algal-cell associated	18	navy	#E15554	#4D9DE0	22	Single	microbiome	yes	diatom	NA
WGA23	WGA_RD4-A_BLANK		NbO-D4_Blank	RD4_Blank	RD4_Blank	RD4_Blank	RD4_Blank	Bact_CG1	Bact_PopA	Bact_NbO	NbO-D4_Blank		WGA		18	navy	#E15554	#4D9DE0	23	Single	bacterioplankton	yes	control	NA
WGA25	WGA_RD4-B	A2	NbO-D4	RD4	RD4_WGA	RD4_WGA	March	CG1	PopA	NbO	NbO-D4 Micro	A2 Algal-cell associated	WGA	Algal-cell associated	18	navy	#E15554	#4D9DE0	22	Single	microbiome	yes	diatom	NA
WGA26	WGA_RD4-B	A2	NbO-D4	RD4	RD4_WGA	RD4_WGA	March	CG1	PopA	NbO	NbO-D4 Micro	A2 Algal-cell associated	WGA	Algal-cell associated	18	navy	#E15554	#4D9DE0	22	Single	microbiome	yes	diatom	NA
WGA27	WGA_RD4-B	A2	NbO-D4	RD4	RD4_WGA	RD4_WGA	March	CG1	PopA	NbO	NbO-D4 Micro	A2 Algal-cell associated	WGA	Algal-cell associated	18	navy	#E15554	#4D9DE0	22	Single	microbiome	yes	diatom	NA
WGA29	WGA_RD4-B_BLANK		NbO-D4_Blank	RD4_Blank	RD4_Blank	RD4_Blank	RD4_Blank	Bact_CG1	Bact_PopA	Bact_NbO	NbO-D4_Blank		WGA		18	navy	#E15554	#4D9DE0	23	Single	bacterioplankton	yes	control	NA
WGA32	WGA_NB7-A	C1	NbQ-B7	NB7	NB7_WGA	NB7_WGA	November	CG3	PopC	NbQ	NbQ-B7 Micro	C1 Algal-cell associated	WGA	Algal-cell associated	18	forestgreen	#7768AE	#3BB273	22	Single	microbiome	yes	diatom	NA
WGA33	WGA_NB7-A	C1	NbQ-B7	NB7	NB7_WGA	NB7_WGA	November	CG3	PopC	NbQ	NbQ-B7 Micro	C1 Algal-cell associated	WGA	Algal-cell associated	18	forestgreen	#7768AE	#3BB273	22	Single	microbiome	yes	diatom	NA
WGA34	WGA_NB7-A	C1	NbQ-B7	NB7	NB7_WGA	NB7_WGA	November	CG3	PopC	NbQ	NbQ-B7 Micro	C1 Algal-cell associated	WGA	Algal-cell associated	18	forestgreen	#7768AE	#3BB273	22	Single	microbiome	yes	diatom	NA
WGA35	WGA_NB7-A_BLANK		NbQ-B7_Blank	NB7_Blank	NB7_Blank	NB7_Blank	NB7_Blank	Bact_CG3	Bact_PopC	Bact_NbQ	NbQ-B7_Blank		WGA		18	forestgreen	#7768AE	#3BB273	23	Single	bacterioplankton	yes	control	NA
WGA39	WGA_NB7-B	C1	NbQ-B7	NB7	NB7_WGA	NB7_WGA	November	CG3	PopC	NbQ	NbQ-B7 Micro	C1 Algal-cell associated	WGA	Algal-cell associated	18	forestgreen	#7768AE	#3BB273	22	Single	microbiome	yes	diatom	NA
WGA40	WGA_NB7-B	C1	NbQ-B7	NB7	NB7_WGA	NB7_WGA	November	CG3	PopC	NbQ	NbQ-B7 Micro	C1 Algal-cell associated	WGA	Algal-cell associated	18	forestgreen	#7768AE	#3BB273	22	Single	microbiome	yes	diatom	NA
WGA41	WGA_NB7-B	C1	NbQ-B7	NB7	NB7_WGA	NB7_WGA	November	CG3	PopC	NbQ	NbQ-B7 Micro	C1 Algal-cell associated	WGA	Algal-cell associated	18	forestgreen	#7768AE	#3BB273	22	Single	microbiome	yes	diatom	NA
WGA42	WGA_NB7-B_BLANK		NbQ-B7_Blank	NB7_Blank	NB7_Blank	NB7_Blank	NB7_Blank	Bact_CG3	Bact_PopC	Bact_NbQ	NbQ-B7_Blank		WGA		18	forestgreen	#7768AE	#3BB273	23	Single	bacterioplankton	yes	control	NA
WGA45	WGA_YE5-A	B1	NbP-YE5	YE5	YE5_WGA	YE5_WGA	May	CG2	PopB	NbP	NbP-YE5 Micro	B1 Algal-cell associated	WGA	Algal-cell associated	18	firebrick	#3BB273	#E15554	22	Single	microbiome	yes	diatom	NA
WGA46	WGA_YE5-A	B1	NbP-YE5	YE5	YE5_WGA	YE5_WGA	May	CG2	PopB	NbP	NbP-YE5 Micro	B1 Algal-cell associated	WGA	Algal-cell associated	18	firebrick	#3BB273	#E15554	22	Single	microbiome	yes	diatom	NA
WGA48	WGA_YE5-A	B1	NbP-YE5	YE5	YE5_WGA	YE5_WGA	May	CG2	PopB	NbP	NbP-YE5 Micro	B1 Algal-cell associated	WGA	Algal-cell associated	18	firebrick	#3BB273	#E15554	22	Single	microbiome	yes	diatom	NA
WGA50	WGA_YE5-A_BLANK		NbP-YE5_Blank	YE5_Blank	YE5_Blank	YE5_Blank	YE5_Blank	Bact_CG2	Bact_PopB	Bact_NbP	NbP-YE5_Blank		WGA		18	firebrick	#3BB273	#E15554	23	Single	bacterioplankton	yes	control	NA
WGA53	WGA_YE5-B	B1	NbP-YE5	YE5	YE5_WGA	YE5_WGA	May	CG2	PopB	NbP	NbP-YE5 Micro	B1 Algal-cell associated	WGA	Algal-cell associated	18	firebrick	#3BB273	#E15554	22	Single	microbiome	yes	diatom	NA
WGA54	WGA_YE5-B	B1	NbP-YE5	YE5	YE5_WGA	YE5_WGA	May	CG2	PopB	NbP	NbP-YE5 Micro	B1 Algal-cell associated	WGA	Algal-cell associated	18	firebrick	#3BB273	#E15554	22	Single	microbiome	yes	diatom	NA
WGA55	WGA_YE5-B	B1	NbP-YE5	YE5	YE5_WGA	YE5_WGA	May	CG2	PopB	NbP	NbP-YE5 Micro	B1 Algal-cell associated	WGA	Algal-cell associated	18	firebrick	#3BB273	#E15554	22	Single	microbiome	yes	diatom	NA
WGA56	WGA_YE5-B_Blank		NbP-YE5_Blank	YE5_Blank	YE5_Blank	YE5_Blank	May	Bact_CG2	Bact_PopB	Bact_NbP	NbP-YE5_Blank		WGA		18	firebrick	#3BB273	#E15554	23	Single	bacterioplankton	yes	control	NA
